,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
84,Escapology,Robbie Williams,Come Undone,2002,54,-0.5909086760113108,-2.0723827084938415,-0.7333445431075778,-0.15692914144188772,1.5831878097882373,1.310188970292321,1.331923547999216,0.2034500366795142,0.8205599011451459,-0.749034696295456,1.7354734385860247,0.07684638870544681,-1.2351330304430186,1,positive
85,Thankful,Kelly Clarkson,Miss Independent,2003-04-15,54,-0.3574206927637314,-0.056103527992281736,-0.40796260304170473,-0.1527037026002456,1.5831878097882373,-0.24839144809815136,-0.8117860323986755,-0.25932870327480256,-1.2186800727216054,0.1857212094301406,2.036755619463029,0.07684638870544681,0.35020773486786433,0,dance
86,Fire,Electric Six,Danger! High Voltage - Soulchild Radio Mix,2003-05-19,54,-0.779665070669997,-0.020098542626182422,0.05248353856094509,1.8961820681850612,1.5831878097882373,-0.25294569383008697,-0.9119940633383277,0.520191988759121,-1.2186800727216054,-0.7287834280984362,0.09983189611150951,0.07684638870544681,-0.10777959733305735,0,dance
87,Drankin' Patnaz,Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,2003-07-25,53,-0.7066716256886822,0.7864131295744414,0.21210486764986394,-0.1569831916357758,0.2071369800275765,1.8038104431730815,1.3393463651058568,-0.011164837393117018,-1.2186800727216054,2.221506591341075,-1.3251059291384268,0.07684638870544681,-0.07695352689645682,3,driving
88,10,LL COOL J,All I Have,2002-10-08,53,0.5152161185754367,0.3183483198151503,-0.21150558262457383,-0.1569831916357758,-1.1689138497330842,0.7209038518488061,-0.36047875231490883,0.03570507763423948,0.8205599011451459,0.047159900713689425,-1.3598819157889948,0.07684638870544681,-0.530537134749293,1,positive
89,Innocent Eyes,Delta Goodrem,Lost Without You,2003-03-21,52,-0.6007190954754948,-0.5889773114105515,0.35330835107467673,-0.15696228892921493,0.4823471459797086,0.578228637440265,0.13684999383003138,-0.4468083633842277,0.8205599011451459,-0.749034696295456,0.9517155817178562,0.07684638870544681,-0.09456842428879998,1,positive
90,Get Rich Or Die Tryin',50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",2003-02-06,52,-0.6816550560550131,1.0312470300639167,1.090022177638917,-0.1569831916357758,-1.1689138497330842,-0.13541677171562017,-0.32336466678170434,1.1043391402579605,0.8205599011451459,0.6227222599974092,-1.4349921961047332,0.07684638870544681,1.6228840714646566,1,positive
91,Fridays Child,Will Young,Leave Right Now,2003-12-01,52,-0.06850383954351219,-0.1569174870173598,-1.5007547791119942,-0.1569831916357758,0.2071369800275765,-0.24968916327983193,-0.49408946023444505,-1.429596476378896,0.8205599011451459,-0.658436917519315,-1.4021543033474144,0.07684638870544681,-0.671456313888038,2,study
92,Pandemonium!,B2K,"Bump, Bump, Bump (feat. P. Diddy)",2002-12-10,51,-0.29021931943407087,1.2328749481140722,-0.027327125983513643,-0.1569831916357758,-1.1689138497330842,1.313445500842576,-0.9142209084703199,-0.04224699156915309,-1.2186800727216054,1.3475044902065376,-0.9057097242011329,0.07684638870544681,1.5039835140663402,3,driving
93,Bad Boy 20th Anniversary Box Set Edition,Various Artists,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,2016-08-12,51,0.08355766215134003,-0.9778311533644234,0.7278045462448325,-0.1569831916357758,-1.1689138497330842,1.6830005053162527,-0.04129761672935014,0.5068710655408202,0.8205599011451459,2.0936038448335816,-1.2158778827396388,0.07684638870544681,1.636095244508914,3,driving
94,Best Of Blue,Blue,U Make Me Wanna,2004-01-01,50,0.8095287025009572,-0.45935936409259404,0.15071204876951053,-0.1569831916357758,0.4823471459797086,-0.07731341084528066,-0.3382103009949861,-0.5168665521619599,0.8205599011451459,-0.701071166355146,1.380290306791104,0.07684638870544681,1.424716475800796,1,positive
95,Moodring,Mýa,My Love Is Like...Wo - Main Mix,2003-01-01,50,0.3337233584880325,1.240075945187292,-0.07030209919976102,-0.15690353871846707,-0.3432833518766878,-0.3780650254977797,0.8345948018542756,-0.33629403742498776,0.8205599011451459,0.2709897071018027,0.4605001993024178,0.07684638870544681,0.7597540992398423,1,positive
96,Gotta Get Thru This,Daniel Bedingfield,If You're Not The One,2002-01-01,50,1.972063409006763,0.17432837835075388,-0.9359408454127432,-0.1569831916357758,1.307977643836105,0.7891440822515184,-0.5015122773410859,-0.9189610863440157,0.8205599011451459,-0.7255858594357489,-0.009213311240745207,0.07684638870544681,-1.1954995113102465,2,study
97,Shaman,Santana,Why Don't You & I (feat. Chad Kroeger),2002-09-30,49,-0.11265072713234016,-1.208263059707459,1.255782788615871,-0.1569831916357758,1.307977643836105,1.2102893864950244,-0.5089350944477269,0.4373062442896915,0.8205599011451459,0.03650133850473165,1.7474676800385867,0.07684638870544681,1.0636110792577618,1,positive
98,Beware,Panjabi MC,Beware of the Boys (Mundian to Bach Ke),2003,49,1.2608079978534217,0.8152171178673209,1.1882506878474823,8.797785772884017,1.5831878097882373,0.4887842306727343,-0.22686804439537275,0.350966927134035,0.8205599011451459,-0.6509759239730446,-0.812717785134472,0.07684638870544681,1.7285734558187156,1,positive
99,Simply Deep,Kelly Rowland,Stole,2002-10-22,49,-0.7466000329079112,-0.09930951043160091,0.1752691763216519,-0.15693050197308397,0.4823471459797086,0.5965190759443288,-0.004183531196145816,0.3909296967889389,-1.2186800727216054,-0.4175534115968694,-1.4730227177835882,0.07684638870544681,-0.2575062251679742,0,dance
100,Nellyville,Nelly,Dilemma,2002-06-25,75,0.3337233584880325,0.46236826127954755,-0.8438516170922132,-0.15495476330679617,-0.893703683780952,1.5726702296812969,0.1739640793632359,-1.1335759604166464,-1.2186800727216054,0.4415267024451272,1.752111791820523,0.07684638870544681,0.314977940083178,3,driving
101,The Eminem Show,Eminem,Without Me,2002-05-26,86,-0.7657303508630701,1.765748731532342,-0.12555563619207907,-0.1569831916357758,0.4823471459797086,1.6010730525256265,0.4634539465222308,1.4551234516732263,0.8205599011451459,-0.2640701157878774,-0.29389370669255704,0.07684638870544681,0.5571827792278964,1,positive
102,Let Go,Avril Lavigne,Complicated,2002-06-04,76,-0.49918125402119035,-0.5601733231176721,0.5313475258277016,-0.15688745971342027,-0.06807318592455565,0.4793084613272554,0.9310914242406074,-0.06000822252688787,0.8205599011451459,-0.5614440014177993,-1.54637774325261,0.07684638870544681,-0.47769244257226345,1,positive
103,Be Not Nobody,Vanessa Carlton,A Thousand Miles,2002-04-30,74,0.8046234927688651,-0.7401982499481679,0.8321723383414326,-0.1569831916357758,1.5831878097882373,0.307593809079598,-0.10068015358247738,0.9444880616383456,0.8205599011451459,-0.6467124990894614,-0.9267727823617298,0.07684638870544681,-1.1778846139179033,1,positive
104,Camino Palmero,The Calling,Wherever You Will Go,2001,72,-0.5997380535290765,-0.7546002440946076,0.18140845820968723,-0.1569831916357758,-0.893703683780952,-0.39985684647317044,-0.4421297404879587,0.327285285857055,0.8205599011451459,-0.7660883958297885,-0.3016095144562477,0.07684638870544681,-0.7243010060650674,1,positive
105,Laundry Service,Shakira,Underneath Your Clothes,2001-11-13,64,2.6097406741787235,-0.3369424138478564,-0.5675839321306235,-0.1569831916357758,0.7575573119318407,-0.021168865343515596,-0.5237807286610087,0.22121126763724897,0.8205599011451459,-0.6083416751372135,1.6540734950695528,0.07684638870544681,-0.7639345251978396,2,study
106,Rock Steady (Expanded Edition),No Doubt,Underneath It All,2001-12-11,60,0.3729650363447684,0.47677025542598733,0.2550798408661113,-0.15696649420745795,-0.3432833518766878,1.9046894346546654,1.6065677809449295,0.47036186857214235,0.8205599011451459,-0.323758064158041,0.6556260297623885,0.07684638870544681,1.3322382644909945,1,positive
107,Hybrid Theory (Bonus Edition),Linkin Park,In the End,2000-10-24,83,-0.7327673414634117,-0.7690022382410473,1.0716043319748108,-0.1569831916357758,-0.6184935178288199,-0.19711945582571522,0.25561506753628566,-0.04619393178198309,-1.2186800727216054,-0.42821197380582715,-0.553342313722821,0.07684638870544681,-0.5965929999705796,0,dance
108,A Rush of Blood to the Head,Coldplay,The Scientist,2002-08-08,81,2.805949063462404,-0.7618012411678274,-1.5191726247761002,-0.15680261204063492,-0.06807318592455565,2.073147556352068,-0.4792438260211632,-0.7142135628034597,0.8205599011451459,-0.7916689451312872,0.9508379542944979,0.07684638870544681,-1.4200894530626218,2,study
109,By the Way (Deluxe Edition),Red Hot Chili Peppers,Can't Stop,2002-07-09,79,-0.6919559964924062,-0.32254041970141667,1.5259111916894252,-0.1569831916357758,1.0327674778839728,1.0790487568005365,-0.05614325094263194,1.1517024228119204,0.8205599011451459,-0.5646415700804867,-1.0538824875114405,0.07684638870544681,1.4951760653701687,1,positive
110,Nellyville,Nelly,Hot In Herre,2002-06-25,73,0.23071395411410023,2.1113965910468946,0.34102978729860606,-0.1569831916357758,1.5831878097882373,0.08103232651185613,-0.8392504556932469,0.5048975954344049,-1.2186800727216054,0.22835545826597156,-0.4826933061424869,0.07684638870544681,1.6581138662493429,0,dance
111,The Eminem Show,Eminem,Till I Collapse,2002-05-26,83,-0.4746552053607303,-0.8266102148268063,0.9672365398782101,-0.1569831916357758,-1.1689138497330842,1.7838794967978366,-0.6900518318497647,1.2528427657656889,0.8205599011451459,0.9318205640571845,1.8712497145413973,0.07684638870544681,-1.9177103043963155,1,positive
112,Let Go,Avril Lavigne,Sk8er Boi,2002-06-04,74,-0.779426186956044,-1.265871036293218,1.2926184799440832,-0.1569831916357758,-1.4441240156852164,-0.5124887301662011,1.3616148164257795,0.6706690843732649,0.8205599011451459,-0.5369293083371964,1.0846761363566224,0.07684638870544681,-0.22668015473137368,1,positive
113,Come Away With Me (Super Deluxe Edition),Norah Jones,Don't Know Why,2002-02-26,73,3.394574231313445,0.5919862085975051,-2.88823248580798,-0.15676055925820484,-0.06807318592455565,-0.9470764048765491,-0.7924867079214092,-2.6837367290056267,0.8205599011451459,-0.7564956898417265,-1.157954472797999,0.07684638870544681,0.4382822218295801,2,study
114,Pain Is Love,Ja Rule,Always On Time,2001-01-01,71,0.24052437357828424,1.2688799334801715,0.10159779366522781,-0.1569831916357758,-0.06807318592455565,0.49466067677845765,0.5005680320554353,-0.16164193300726043,-1.2186800727216054,1.0703818727736356,-0.8630716585496478,0.07684638870544681,1.3366419888390804,0,dance
115,Jealous Ones Still Envy (J.O.S.E),Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),2001-12-04,71,-0.6723351575640382,1.240075945187292,0.10773707555326316,-0.15671232224306447,0.7575573119318407,1.0323554954521432,-0.49408946023444505,0.3465266193946015,0.8205599011451459,-0.41328998671328626,-0.9624629642449627,0.07684638870544681,1.6889399366859434,1,positive
116,A Rush of Blood to the Head,Coldplay,Clocks,2002-08-08,78,2.1584613788262588,-0.617781299703431,0.36558691485074746,-0.0147458392987901,-0.06807318592455565,2.03100854073561,0.06262182276362233,-0.7097732550640259,-1.2186800727216054,-0.7532981211790393,0.391094497238508,0.07684638870544681,-1.2351330304430186,2,study
117,Ashanti,Ashanti,Foolish,2002-01-01,71,0.9223485263390732,0.01590644273991689,0.03406569289683908,-0.1569831916357758,-1.4441240156852164,0.06012197245232392,-0.5089350944477269,0.006596393564618193,0.8205599011451459,-0.4836364972924076,-1.1027370807450463,0.07684638870544681,0.7553503748917565,1,positive
118,It Ain't Safe No More. . .,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),2002-11-26,69,-0.7101052725011467,-0.10651050750482077,0.4269797337311008,-0.1569831916357758,0.2071369800275765,2.4332267914802657,3.51423177735164,0.720992572086847,0.8205599011451459,2.210848029132117,-1.2535061585161216,0.07684638870544681,-0.07695352689645682,3,driving
119,By the Way (Deluxe Edition),Red Hot Chili Peppers,By the Way,2002-07-09,72,-0.6502617137696242,-1.5251069309291325,1.7223682121065562,-0.11307513939261933,-1.4441240156852164,-0.19582174064403465,-0.5386263628742904,0.4136246030127115,0.8205599011451459,0.08979414954952054,0.07931735509051215,0.07684638870544681,-1.4861453182839084,1,positive
120,Come Clean,Puddle Of Mudd,She Hates Me,2001-08-28,68,-0.7338955397017929,-0.5961783084837714,0.3594476329627121,-0.1569831916357758,-0.3432833518766878,-0.2000576788785769,4.293627573548934,0.1694076773438555,0.8205599011451459,-0.7064004474596249,-0.3837408141588512,0.07684638870544681,0.21369228007720484,1,positive
121,The Eminem Show,Eminem,Cleanin' Out My Closet,2002-05-26,72,-0.4427713421021323,1.765748731532342,0.4208404518430655,-0.1569831916357758,1.0327674778839728,1.7852016971716242,-0.7145471283016798,0.5048975954344049,-1.2186800727216054,0.8039178175496912,1.0143928068693533,0.07684638870544681,1.4731574436297397,0,dance
122,Bad Boy's 10th Anniversary- The Hits,Various Artists,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",2004-03-09,68,1.2853340465138816,0.3615543022544695,-1.3411334500230758,-0.1569831916357758,-1.1689138497330842,1.4851601530902336,-1.0671309408671223,-0.7970993072728897,-1.2186800727216054,4.097413540117643,2.9067403706761383,0.07684638870544681,1.0724185279539333,3,driving
123,8701,Usher,U Got It Bad,2001-08-07,68,-0.6684109897783647,1.1032570007961147,-1.1630942752700508,-0.15696426788368226,-1.1689138497330842,0.5609420918125955,-0.7516612138348842,0.6045578358083623,0.8205599011451459,-0.7309151405402279,0.13756987531591194,0.07684638870544681,0.4999343627027812,1,positive
124,Weathered,Creed,My Sacrifice,2001-01-01,68,-0.779263824513912,-2.4684375475209337,1.1698328421833764,-0.15692988354981297,-0.893703683780952,1.7058696747443594,-0.7316196076469538,-0.12759957367160174,0.8205599011451459,-0.5134804714774893,0.9534708365645725,0.07684638870544681,-1.226325581746847,1,positive
125,Under Construction,Missy Elliott,Work It,2002-11-11,67,-0.398133933540095,1.5929248017750652,-0.07644138108779637,-0.1569831916357758,-1.1689138497330842,0.9376712575736759,-0.7524034955455483,0.08553519782121816,0.8205599011451459,1.9657010983260883,-0.6731018892019072,0.07684638870544681,0.21369228007720484,3,driving
126,A Rush of Blood to the Head,Coldplay,In My Place,2002-08-08,71,-0.5085011525121652,-1.7195338519060688,-0.6228374691229416,-0.15692196773194378,1.0327674778839728,0.04283542682465443,0.9162457900273256,0.15855359175857292,0.8205599011451459,-0.7543639773999349,0.8908301792223822,0.07684638870544681,-1.5081639400243374,1,positive
127,M!ssundaztood (Expanded Edition),P!nk,Get the Party Started,2001,67,-0.774363519991552,1.0024430417710373,1.3110363256081892,-0.1569831916357758,1.5831878097882373,-0.7932604280592408,-0.01160634830278672,1.2380417399675765,-1.2186800727216054,-0.5603781451969035,0.31649616625306237,0.07684638870544681,1.8694926349574603,0,dance
128,Stripped,Christina Aguilera,Dirrty (feat. Redman),2002-07-19,66,-0.25490180936300844,-0.16411848409057966,1.2250863791756943,-0.1569831916357758,-0.893703683780952,1.8100051967761983,1.2205812913996028,1.333755040128704,0.8205599011451459,2.3813850244754415,-0.7439337358287741,0.07684638870544681,-0.4380589234394913,3,driving
129,Aaliyah,Aaliyah,Rock The Boat,2001-07-07,65,-0.43541352750399426,-0.18572147531023928,0.21824414953789928,-0.10280931309351514,-0.06807318592455565,1.2194223631510028,0.21107816489644043,0.347019986921205,0.8205599011451459,-0.6957418852506672,-0.9977509002258232,0.07684638870544681,-0.530537134749293,1,positive
130,Home,The Chicks,Landslide,2002-08-27,65,1.8396227462402788,-0.6609872821427502,-1.5437297523282416,-0.15679024357521432,-0.893703683780952,0.13756863508733608,0.09231309119018595,-0.6071528095304459,0.8205599011451459,-0.7532981211790393,0.9388071450326302,0.07684638870544681,-0.402829128654805,2,study
131,Come Home With Me,Cam’ron,Oh Boy,2002-01-01,65,-0.6738067204836657,0.6567951822564839,0.47609398883538356,-0.1569831916357758,0.2071369800275765,-0.4952021845385316,-0.019029165409427624,0.09392244577348163,0.8205599011451459,0.4948195134899158,-1.3625513658683763,0.07684638870544681,1.2882010210101367,1,positive
132,Hood Rich,Big Tymers,Still Fly,2002-01-01,63,-0.6316219167876745,0.08791641347211553,-0.5061911132502702,-0.1568722465009529,1.5831878097882373,2.7100808586361564,1.2205812913996028,1.1043391402579605,0.8205599011451459,0.676015071042198,2.108245686657414,0.07684638870544681,0.10800289572314635,3,driving
133,Hijas del Tomate,Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,2002,63,-0.6850887028674774,-0.40175138750683514,1.433821963368896,-0.1569695863238131,-1.1689138497330842,-0.26829790928128916,-0.6098854070980431,-0.49367827841158374,0.8205599011451459,-0.04024030939976429,2.360234460589133,0.07684638870544681,1.464349994933568,1,positive
134,M!ssundaztood (Expanded Edition),P!nk,Just Like a Pill,2001,66,-0.7793315164082147,0.1887303724971928,0.5190689620516309,-0.1569831916357758,1.0327674778839728,0.28572853252788577,-0.5972666180167535,0.6159052889202488,0.8205599011451459,-0.7543639773999349,-0.666300276670881,0.07684638870544681,-1.2571516521834476,1,positive
